IV,C,DV,Other
,,,
TIME (SEC),FUEL WEIGHT (LBS),POINTS,M2 max value is set to 1.5 (m2_max)
120,42,2,
125,42,2,
130,42,2,
135,42,2,
140,42,2,
145,42,2,
150,42,2,
155,42,2,
160,42,2,
165,42,2,
170,42,2,
175,42,2,
180,42,2,
185,42,2,
190,42,2,
195,42,2,
200,42,2,
205,42,2,
210,42,2,
215,42,2,
220,42,2,
225,42,2,
230,42,2,
235,42,2,
240,42,2,
245,42,2,
250,42,2,
255,42,2,
260,42,2,
265,42,2,
270,42,2,
275,42,2,
280,42,2.0,
285,42,1.9824561403508771,
290,42,1.9655172413793105,
295,42,1.9491525423728815,
60,44,2,
65,44,2,
70,44,2,
75,44,2,
80,44,2,
85,44,2,
90,44,2,
95,44,2,
100,44,2,
105,44,2,
110,44,2,
115,44,2,
120,44,2,
125,44,2,
130,44,2,
135,44,2,
140,44,2,
145,44,2,
150,44,2,
155,44,2,
160,44,2,
165,44,2,
170,44,2,
175,44,2,
180,44,2,
185,44,2,
190,44,2,
195,44,2,
200,44,2,
205,44,2,
210,44,2,
215,44,2,
220,44,2,
225,44,2,
230,44,2,
235,44,2,
240,44,2,
245,44,2,
250,44,2,
255,44,2,
260,44,2,
265,44,2,
270,44,2,
275,44,2,
280,44,2,
285,44,2,
290,44,2,
295,44,1.9943502824858759,
,,,
,,,
WEIGHT (LBS),LAPS,POINTS,M3 max value is set to 53.4545455 (m3_max)
0.055,1,2.0187074829772897,BOXSCORE : (0)
0.055,2,2.037414965954579,BOXSCORE : (0)
0.055,3,2.056122448931869,BOXSCORE : (0)
0.055,4,2.074829931909158,BOXSCORE : (0)
0.055,5,2.093537414886448,BOXSCORE : (0)
0.055,6,2.112244897863737,BOXSCORE : (0)
0.055,7,2.130952380841027,BOXSCORE : (0)
0.055,8,2.1496598638183166,BOXSCORE : (0)
0.055,9,2.168367346795606,BOXSCORE : (0)
0.056,1,2.0187074829772897,BOXSCORE : (0)
0.056,2,2.037414965954579,BOXSCORE : (0)
0.056,3,2.056122448931869,BOXSCORE : (0)
0.056,4,2.074829931909158,BOXSCORE : (0)
0.056,5,2.093537414886448,BOXSCORE : (0)
0.056,6,2.112244897863737,BOXSCORE : (0)
0.056,7,2.130952380841027,BOXSCORE : (0)
0.056,8,2.1496598638183166,BOXSCORE : (0)
0.056,9,2.168367346795606,BOXSCORE : (0)
0.057,1,2.0187074829772897,BOXSCORE : (0)
0.057,2,2.037414965954579,BOXSCORE : (0)
0.057,3,2.056122448931869,BOXSCORE : (0)
0.057,4,2.074829931909158,BOXSCORE : (0)
0.057,5,2.093537414886448,BOXSCORE : (0)
0.057,6,2.112244897863737,BOXSCORE : (0)
0.057,7,2.130952380841027,BOXSCORE : (0)
0.057,8,2.1496598638183166,BOXSCORE : (0)
0.057,9,2.168367346795606,BOXSCORE : (0)
0.058,1,2.0187074829772897,BOXSCORE : (0)
0.058,2,2.037414965954579,BOXSCORE : (0)
0.058,3,2.056122448931869,BOXSCORE : (0)
0.058,4,2.074829931909158,BOXSCORE : (0)
0.058,5,2.093537414886448,BOXSCORE : (0)
0.058,6,2.112244897863737,BOXSCORE : (0)
0.058,7,2.130952380841027,BOXSCORE : (0)
0.058,8,2.1496598638183166,BOXSCORE : (0)
0.058,9,2.168367346795606,BOXSCORE : (0)
0.059,1,2.0187074829772897,BOXSCORE : (0)
0.059,2,2.037414965954579,BOXSCORE : (0)
0.059,3,2.056122448931869,BOXSCORE : (0)
0.059,4,2.074829931909158,BOXSCORE : (0)
0.059,5,2.093537414886448,BOXSCORE : (0)
0.059,6,2.112244897863737,BOXSCORE : (0)
